"","Company","Job_post","Job_location","Salary_in_thousands","Experience_in_years","Skills"
"1","INEXTURE SOLUTIONS","Data_Scientist","Ahmedabad",530,2,"machine learning | presentation skills | python"
"2","NatWest Group","Data_Scientist","Gurgaon",843,2,"presentation skills | database handling | python"
"3","Applicate IT Solutions Pvt. Ltd.","Data_Scientist","Gurgaon",777,4,"python | database handling | R"
"4","Roche Pharmaceuticals","Data_Scientist","Mumbai",971,2,"python | R | data visualization"
"5","Qwickbit technologies pvt ltd","Sr_Data_Scientist","Bangalore",842,5,"database handling | presentation skills | data visualization"
"6","WSD Consultant","Jr_Data_Scientist","Gurgaon",830,0,"machine learning | data visualization | python"
"7","Zestmoney","Data_Scientist","Karnataka",637,2,"presentation skills | data visualization | R"
"8","XPO Logistics","Data_Scientist","Mumbai",505,4,"python | java | data visualization"
"9","Safaltek Software Pvt. Ltd.","Data_Scientist","Mohali",742,3,"python | presentation skills | database handling"
"10","TalentHunt Consulting","Data_Scientist","Bangalore",615,2,"data visualization | R | presentation skills"
"11","Parexel","Data_Scientist","Hyderabad",551,2,"java | R | python"
"12","Payoda","Data_Scientist","Coimbatore",707,4,"data visualization | presentation skills | python"
"13","Shree Manpower Services","Sr_Data_Scientist","Bangalore",996,7,"machine learning | database handling | presentation skills"
"14","Rockwell Automation","Data_Scientist","Pune",698,2,"presentation skills | R | data visualization"
"15","Aditya Birla Group","Data_Scientist","Maharashtra",753,2,"machine learning | presentation skills | R"
"16","Microsoft","Data_Scientist","Hyderabad",842,3,"database handling | presentation skills | R"
"17","Muthoot Micorfin Ltd","Data_Scientist","Eranakulam",759,2,"python | data visualization | R"
"18","Multirecruit","Data_Scientist","Bangalore",736,2,"R | presentation skills | database handling"
"19","FiscalNote","Data_Scientist","Gurgaon",633,2,"java | presentation skills | machine learning"
"20","MARKTECH CONSULTANCY","Data_Scientist","Noida",877,2,"machine learning | data visualization | python"
"21","Colgate-Palmolive","Data_Scientist","Mumbai",525,2,"database handling | java | machine learning"
"22","Stryker","Sr_Data_Scientist","Gurgaon",506,7,"java | data visualization | database handling"
"23","Safaltek Software Pvt. Ltd.","Data_Scientist","Mohali",618,4,"python | presentation skills | data visualization"
"24","Dell Technologies","Data_Scientist","Bangalore",912,2,"presentation skills | R | java"
"25","Profile Enterprises Ltd","Data_Scientist","New Delhi",591,2,"data visualization | java | presentation skills"
"26","HERE Technologies","Data_Scientist","Mumbai",656,4,"data visualization | python | presentation skills"
"27","Vistan NextGen Pvt Ltd","Data_Scientist","Hyderabad",742,2,"machine learning | R | python"
"28","DDR INFOSYSTEM","Data_Scientist","Hyderabad",666,2,"java | python | R"
"29","Biz2Credit Inc","Data_Scientist","Noida",632,3,"machine learning | java | database handling"
"30","ANI Calls India Private Limited","Data_Scientist","Noida",954,4,"R | python | java"
"31","Redcliffe Lifesciences Pvt Ltd","Data_Scientist","Delhi",900,3,"database handling | R | java"
"32","INEXTURE SOLUTIONS","Data_Scientist","Ahmedabad",825,3,"machine learning | database handling | python"
"33","NatWest Group","Data_Scientist","Gurgaon",518,4,"R | presentation skills | machine learning"
"34","Applicate IT Solutions Pvt. Ltd.","Data_Scientist","Gurgaon",998,2,"database handling | java | machine learning"
"35","Roche Pharmaceuticals","Data_Scientist","Mumbai",967,2,"presentation skills | machine learning | database handling"
"36","Qwickbit technologies pvt ltd","Sr_Data_Scientist","Bangalore",791,5,"data visualization | database handling | machine learning"
"37","WSD Consultant","Jr_Data_Scientist","Gurgaon",848,0,"python | R | database handling"
"38","Zestmoney","Data_Scientist","Karnataka",760,3,"data visualization | java | database handling"
"39","XPO Logistics","Data_Scientist","Mumbai",682,4,"R | java | machine learning"
