"","Company","Job_post","Job_location","Salary_in_thousands","Experience_in_years","Skills"
"each_skill","Saavn","Data Analyst - Product","Mumbai",690,6,"R | database handling | machine learning"
"each_skill.1","Colgate-Palmolive","Data Scientist","Mumbai",809,0,"machine learning | python | database handling"
"each_skill.2","Amazon","Data Scientist","Bangalore",676,5,"machine learning | presentation skills | java"
"each_skill.3","Parexel","Data Scientist","Hyderabad",939,5,"presentation skills | database handling | python"
"each_skill.4","Ericsson-Worldwide","Data Scientist","Chennai",767,4,"R | java | database handling"
"each_skill.5","Colgate-Palmolive","Senior Data Scientist","Mumbai",652,0,"machine learning | java | database handling"
"each_skill.6","Paypal","Data Scientist","Bangalore",814,1,"data visualization | python | database handling"
"each_skill.7","IHS Markit","Data Scientist","Gurgaon",630,4,"data visualization | presentation skills | python"
"each_skill.8","J.P. Morgan","Data Scientist","Bangalore",552,1,"database handling | java | presentation skills"
"each_skill.9","Nutanix","Data Scientist","Bangalore",590,5,"R | java | database handling"
"each_skill.10","Novartis","Data Scientist","Hyderabad",838,5,"R | data visualization | python"
"each_skill.11","TTEC","Data Scientist","Hyderabad",760,3,"database handling | data visualization | machine learning"
"each_skill.12","Hewlett Packard Enterprise","Data Scientist at HPE Storage","Bangalore",751,0,"data visualization | python | R"
"each_skill.13","Integral Ad Science","Staff Big Data Engineer (Data Science/ML)","Pune",667,1,"presentation skills | R | database handling"
"each_skill.14","Micron Technology","People Data Scientist","Hyderabad",577,1,"database handling | R | presentation skills"
"each_skill.15","Integral Ad Science","Senior Big Data Engineer (Data Science/ML)","Pune",975,3,"machine learning | database handling | java"
"each_skill.16","Zestmoney","Data Scientist","Karnataka",778,1,"java | database handling | R"
"each_skill.17","Blue Yonder","Data Scientist - Machine Learning","Bangalore",689,5,"database handling | data visualization | java"
"each_skill.18","ABB","Data Scientist","Bangalore",582,6,"presentation skills | machine learning | data visualization"
"each_skill.19","GEP","Senior Data Scientist - Data Sciences","Hyderabad",636,2,"presentation skills | machine learning | data visualization"
"each_skill.20","Integral Ad Science","Senior Big Data Engineer","Pune",910,6,"data visualization | java | python"
"each_skill.21","Maxbyte Technologies Private Limited","Data Scientist","Coimbatore",562,3,"R | presentation skills | data visualization"
"each_skill.22","Cognizant","Data Scientist","Chennai",657,0,"java | R | presentation skills"
"each_skill.23","Akeo Software Solutions","Data Scientist","Jaipur",909,4,"machine learning | java | data visualization"
"each_skill.24","TATA Consultancy Services Ltd.","Workforce Analytics - Data Scientist","Pune",879,6,"java | presentation skills | R"
"each_skill.25","mindcurv","Data Scientist","Cochin",793,5,"database handling | python | machine learning"
"each_skill.26","Talentica Software India","Data Scientist","Pune",966,5,"database handling | python | java"
"each_skill.27","Terra Economics & Analytics Lab (TEAL)","Data Scientist","New Delhi",834,0,"python | machine learning | java"
"each_skill.28","Tata Insights and Quants","Data Scientist","Mumbai",501,3,"machine learning | R | data visualization"
"each_skill.29","Mercedes-Benz Research and Development India Private Limited","Data Scientist DA4AD","Bangalore",975,4,"machine learning | python | presentation skills"
"each_skill.30","Salesforce","Data Analyst","Hyderabad",504,6,"R | machine learning | data visualization"
"each_skill.31","GlaxoSmithKline","Data Analyst","Bangalore",529,1,"data visualization | machine learning | R"
"each_skill.32","Amazon","Data Scientist Intern","Bangalore",874,6,"data visualization | database handling | python"
"each_skill.33","MakeMyTrip","Data Scientist","Bangalore",504,0,"R | python | database handling"
